	"Something is happening now"	
	: "ni-/ki- word"	: "ê-/kâ- word"
"I"	{{ lemma }}+V+TI+Ind+Prs+1Sg	PV/e+{{ lemma }}+V+TI+Cnj+Prs+1Sg
"you (one)"	{{ lemma }}+V+TI+Ind+Prs+2Sg	PV/e+{{ lemma }}+V+TI+Cnj+Prs+2Sg
"s/he"	{{ lemma }}+V+TI+Ind+Prs+3Sg	PV/e+{{ lemma }}+V+TI+Cnj+Prs+3Sg
"we"	{{ lemma }}+V+TI+Ind+Prs+1Pl	PV/e+{{ lemma }}+V+TI+Cnj+Prs+1Pl
"you and we"	{{ lemma }}+V+TI+Ind+Prs+12Pl	PV/e+{{ lemma }}+V+TI+Cnj+Prs+12Pl
"you (all)"	{{ lemma }}+V+TI+Ind+Prs+2Pl	PV/e+{{ lemma }}+V+TI+Cnj+Prs+2Pl
"they"	{{ lemma }}+V+TI+Ind+Prs+3Pl	PV/e+{{ lemma }}+V+TI+Cnj+Prs+3Pl
"s/he/they (further)"	{{ lemma }}+V+TI+Ind+Prs+4Sg/Pl	PV/e+{{ lemma }}+V+TI+Cnj+Prs+4Sg/Pl
"someone"	{{ lemma }}+V+TI+Ind+Prs+X	PV/e+{{ lemma }}+V+TI+Cnj+Prs+X
		
	"Something happened earlier"	
	: "ni-/ki- word"	: "ê-/kâ- word"
"I"	{{ lemma }}+V+TI+Ind+Prt+1Sg	PV/e+{{ lemma }}+V+TI+Cnj+Prt+1Sg
"you (one)"	{{ lemma }}+V+TI+Ind+Prt+2Sg	PV/e+{{ lemma }}+V+TI+Cnj+Prt+2Sg
"s/he"	{{ lemma }}+V+TI+Ind+Prt+3Sg	PV/e+{{ lemma }}+V+TI+Cnj+Prt+3Sg
"we"	{{ lemma }}+V+TI+Ind+Prt+1Pl	PV/e+{{ lemma }}+V+TI+Cnj+Prt+1Pl
"you and we"	{{ lemma }}+V+TI+Ind+Prt+12Pl	PV/e+{{ lemma }}+V+TI+Cnj+Prt+12Pl
"you (all)"	{{ lemma }}+V+TI+Ind+Prt+2Pl	PV/e+{{ lemma }}+V+TI+Cnj+Prt+2Pl
"they"	{{ lemma }}+V+TI+Ind+Prt+3Pl	PV/e+{{ lemma }}+V+TI+Cnj+Prt+3Pl
"s/he/they (further)"	{{ lemma }}+V+TI+Ind+Prt+4Sg/Pl	PV/e+{{ lemma }}+V+TI+Cnj+Prt+4Sg/Pl
		
	"Someone wants something to happen"	
	: "ni-/ki- word"	: "ê-/kâ- word"
"I"	{{ lemma }}+V+TI+Ind+Fut+Int+1Sg	PV/e+{{ lemma }}+V+TI+Cnj+Fut+Int+1Sg
"you (one)"	{{ lemma }}+V+TI+Ind+Fut+Int+2Sg	PV/e+{{ lemma }}+V+TI+Cnj+Fut+Int+2Sg
"s/he"	{{ lemma }}+V+TI+Ind+Fut+Int+3Sg	PV/e+{{ lemma }}+V+TI+Cnj+Fut+Int+3Sg
"we"	{{ lemma }}+V+TI+Ind+Fut+Int+1Pl	PV/e+{{ lemma }}+V+TI+Cnj+Fut+Int+1Pl
"you and we"	{{ lemma }}+V+TI+Ind+Fut+Int+12Pl	PV/e+{{ lemma }}+V+TI+Cnj+Fut+Int+12Pl
"you (all)"	{{ lemma }}+V+TI+Ind+Fut+Int+2Pl	PV/e+{{ lemma }}+V+TI+Cnj+Fut+Int+2Pl
"they"	{{ lemma }}+V+TI+Ind+Fut+Int+3Pl	PV/e+{{ lemma }}+V+TI+Cnj+Fut+Int+3Pl
"s/he/they (further)"	{{ lemma }}+V+TI+Ind+Fut+Int+4Sg/Pl	PV/e+{{ lemma }}+V+TI+Cnj+Fut+Int+4Sg/Pl
		
	"Something will certainly happen"	
	: "ni-/ki- word"	
"I"	{{ lemma }}+V+TI+Ind+Fut+Def+1Sg	
"you (one)"	{{ lemma }}+V+TI+Ind+Fut+Def+2Sg	
"s/he"	{{ lemma }}+V+TI+Ind+Fut+Def+3Sg	
"we"	{{ lemma }}+V+TI+Ind+Fut+Def+1Pl	
"you and we"	{{ lemma }}+V+TI+Ind+Fut+Def+12Pl	
"you (all)"	{{ lemma }}+V+TI+Ind+Fut+Def+2Pl	
"they"	{{ lemma }}+V+TI+Ind+Fut+Def+3Pl	
"s/he/they (further)"	{{ lemma }}+V+TI+Ind+Fut+Def+4Sg/Pl	
		
	"For something to happen"	
	: "ka- word"	: "ta- word"
"I"	PV/ka+{{ lemma }}+V+TI+Cnj+Prs+1Sg	PV/ta+{{ lemma }}+V+TI+Cnj+Prs+1Sg
"you (one)"	PV/ka+{{ lemma }}+V+TI+Cnj+Prs+2Sg	PV/ta+{{ lemma }}+V+TI+Cnj+Prs+2Sg
"s/he"	PV/ka+{{ lemma }}+V+TI+Cnj+Prs+3Sg	PV/ta+{{ lemma }}+V+TI+Cnj+Prs+3Sg
"we"	PV/ka+{{ lemma }}+V+TI+Cnj+Prs+1Pl	PV/ta+{{ lemma }}+V+TI+Cnj+Prs+1Pl
"you and we"	PV/ka+{{ lemma }}+V+TI+Cnj+Prs+12Pl	PV/ta+{{ lemma }}+V+TI+Cnj+Prs+12Pl
"you (all)"	PV/ka+{{ lemma }}+V+TI+Cnj+Prs+2Pl	PV/ta+{{ lemma }}+V+TI+Cnj+Prs+2Pl
