	| Ipfv
_ 1Sg _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjSg1+DObjSg3+IObjSg1
_ 2Sg _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjSg2+DObjSg3+IObjSg1
_ 3Sg _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjSg3+DObjSg3+IObjSg1
_ 1Pl _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjPl1+DObjSg3+IObjSg1
_ 2Pl _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjPl2+DObjSg3+IObjSg1
_ 3Pl _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjPl3+DObjSg3+IObjSg1
_ 4Sg _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjSg4+DObjSg3+IObjSg1
	| Nominalizations
_ 3Sg _ Nomz _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjSg3+DObjSg3+IObjSg1+Nomz
_ 3Sg _ NomzA _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjSg3+DObjSg3+IObjSg1+NomzA
	| DistributivePlurals
_ 1Pl _ Distr _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjPl1+DObjSg3+IObjSg1+Distr
_ 2Pl _ Distr _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjPl2+DObjSg3+IObjSg1+Distr
_ 3Pl _ Distr _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjPl3+DObjSg3+IObjSg1+Distr
_ 4Sg _ Distr _ 3SgDO _ 1SgIO	${lemma}+V+D+Ipfv+SbjSg4+DObjSg3+IObjSg1+Distr
