Query,Nêhiyawêwin 1,Nêhiyawêwin 2,Nêhiyawêwin 3,,,Poor result,Notes
see,wâpamêw,wâpiw,wâpahtam,,,kwêyask,"Ignore ""\[see"""
eat,mîcisow,mîciw,mowêw,,,,
fire,iskotêw,,,,,,
happy birthday,miyo-tipiska,,,,,,
thank you,ay-hay,hay-hay,kinanâskomitin,,,,
welcome,tatawâw,,,,,,
'horse',misatim,mistatim,,,,,
"""horse""",misatim,mistatim,,,,,
beaverberry,amiskomin,amiskominak,,,,,
beaverberries,amiskomin,amiskominak,,,,,
beaver-berry,amiskomin,amiskominak,,,,,
beaver-berries,amiskomin,amiskominak,,,,,
beaver berry,amiskomin,amiskominak,,,,,
beaver berries,amiskomin,amiskominak,,,,,
berries,mînisa,mînis,,,,,
berry,mînis,mînisa,,,,,
berri,mînis,mînisa,,,,,
stove pipe,okohtaskwahikan,,,,,,
stove-pipe,okohtaskwahikan,,,,,,
stovepipe,okohtaskwahikan,,,,,,
in the area,cîkâhtaw,,,,,,
bread,pahkwêsikan,,,,,,
yellow hat,osâwastotin,,,,,,
sleep,nipâw,,,,,,
nîminâniwan,nîminâniwan,nîmiw,,,,,
I love you,kisâkihitin,,,,,,
usual,mâna,,,,,,
no,namoya,,,,,,
this,ôma,awa,ôhi,,,,
that,anima,,,,,,
good morning,miyo-kîkisêpâyâw,,,,,,
me,niya,,,,,,
good bye,ekosi mâka ,,,,,,
goodbye,ekosi mâka ,,,,,,
work together,mâmawi-isîhcikêwin,,,,,,
working together,mâmawi-isîhcikêwin,,,,,,
work togeth,mâmawi-isîhcikêwin,,,,,,
Cree,nêhiyaw,nêhiyawêwin,,,,,
Edmonton,amiskwaciy-wâskahikan,,,,,,
edmonton,amiskwaciy-wâskahikan,,,,,,
hill,waciy,ispatinaw,,,,,
beaver hill,natimîwiyiniwak,amiskwacîwiyiniwak,,,,,
beaver hills,natimîwiyiniwak,amiskwacîwiyiniwak,,,,,
Calgary,otôskwanihk,,,,,,
calgary,otôskwanihk,,,,,,
car,sêhkêpayîs,,,,,,
water,nipiy,,,,,,
telling a story,âcimêw,âcimow
on water,nipîhk,,,,,,"aspirational search, as result is based on inflections, not a direct definition entry"
hello,tânisi,,,,,,
difficult thing,âyiman,,,,,,
many snakes,kinêpikoskâw,,,,,,
there are many snakes,kinêpikoskâw,,,,,,
dances,nîmiw,nîmihitow,,,,,
dancing time,nîminâniwan,nîmiw,,,,,
go to bed,mâci-nipa,,,,,,
Merry Christmas,miyo-manitowi-kîsikânisik,,,,,,
merry christmas,miyo-manitowi-kîsikânisik,,,,,,
i see you,kiwâpamitin,,,,,,
he sees him,wâpamêw,,,,,,
she sees him,wâpamêw,,,,,,
starblanket,atâhkakohp,acâhkosa kâ-otakohpit,,,,,
star blanket,atâhkakohp,acâhkosa kâ-otakohpit,,,,,
being taught,kiskinwahamâkosiw,,,,,,
they see us,niwâpamikonânak,kiwâpamikonawak,,,,,
gym,mêtawêwikamik,,,,,,This item and below are from NS152
lake,sâkahikan
juice,sîwâpoy
hospital,âhkosîwikamik
sock,asikan
pail,askihk
potato,askipwâwi
dog,atim,nitêm,,,,,very irregular inflections
doll,awâsisihkân
tobacco,ciscêmâs,cistêmâw
fork,cîscahikanis
girl,iskwêsis
woman,iskwêw
fish,kinosêw
bacon,kohkôsiwiyin
corn,mahtâmin
pencil,masinahikanâhtik
slate,masinahikanâpisk
pen,masinahikanâpiskos
tea,maskihkîwâpoy
bear,maskwa
glass,minihkwâcikan,minihkwêwiyâkanis
cup,minihkwâcikanis
cat,minôs
pants,mitâs
feather,mêkwan
road,mêskanaw
soup,mîcimâpoy
bead,mîkis
knife,môhkomân
little knife,môhkomânis
moose,môswa
toboggan,napakâhtik
frying pan,napwên
goose,niska
boy,nâpêsis
man,nâpêw
Cree person,nêhiyaw
tomato,okiniy
little carrot,oskâcâskos
carrot,oskâtâsk
nut,pakân
pepper,papêskomina
apple,picikwâs
ball,pâkâhtowân
sun,pîsim
skunk,sikâk
sugar,sîwinikan
salt,sîwîhtâkan
money,sôniyâw
butter,tohtôsâpoy
milk,tohtôsâpoy
fur,wayân
dish,wiyâkan
banana,wâkâs
rabbit,wâpos
egg,wâwi
little spoon,êmihkwânis
brings it,pêtawêw
store,atâwêwikamik
pig,kohkôs
shoe,maskisin
horse,misatim,mistatim,,,,,
cow,mostos
restaurant,mîcisowikamik
duck,sîsîp
bank,sôniyâwikamik
chair,têhtapiwin
spoon,êmihkwân
drinks,minihkwêw
right,tâpwê
puppy,acimosis
land,askiy
child,awâsis
skin,masakay
fingernail,maskasiy
hand,micihciy
finger,micihcîs
nipple,micohcôsimis
face,mihkwâkan
ear,mihtawakay
nose,mikot
little foot,misicis
foot,misit
leg,miskât
eye,miskîsik
arm,mispiton
head,mistikwân
breast,mitohtôsim
mouth,mitôn
body,miyaw
tooth,mîpit
hair,mêscakâsa
my foot,nisit
my head,nistikwân
who,awîna
oh,ka
again,kîhtwâm
what,kîkwây
but,mâka
when,tânispî
how,tânisîyisi
where,tânitê
why,tânêhki
far away,wâhyaw
soon,wîpac
so,êkosi
and,êkwa,mîna
son,nikosis
aunt,nikâwîs
mother,nikâwiy
grandfather,nimosôm
husband,ninâpêm
parents,ninêkihikwak
younger sibling,nisîmis
daughter,nitânis
friend,nitôtêm
father,nôhtâwiy
sibling,nîtisân
grandmother,nôhkom
town,ôcênâsis,ôcênâs
bannock,pahkwêsikan
duckling,sîsîpisis
raisin,sôminis
city,ôtênaw
works,atoskêw
named,isiyihkâcikâtêw,isiyihkâsow
names,isiyihkâtâw,isiyihkâtêw
goes,itohtêw
says,itwêw
knows,nisitawêyimêw
wants it,nitawêyihtam
wants him,nitawêyimêw
wants her,nitawêyimêw
wants them,nitawêyimêw
talks,pîkiskwâtêw
sees it,wâpahtam
sees him,wâpamêw
sees her,wâpamêw
lives at,wîkiw
a little,apisîs
listen,mâ
miracle,mâmaskâc
a while,pitamâ
gee,wahwâ
gosh,wâcistakâc
although,âta
very true,tâpwe pikwâni
piglet,kohkôsis
tipi,mîkiwâhp
Cree language,nêhiyawêwin
queen,okimâskwêw
house,wâskahikan
Frenchman,wêmistikôsiw
home,wîkiwin
English language,âkayâsîmowin
hitch,âniskamân
diaper,âsiyân
feels,itamahcihow
learns,kiskinwahamâkosiw
feels good,miyomahcihow
understands,nisitohtam,nisitohtawêw
listens,nitohtam
speaks Cree,nêhiyawêw
tired,nêstosiw
hungry,nôhtêhkatêw
sleepy,nôhtêhkwasiw
very,mistahi
hat,astotin
shorts,atâmicâsis,kîskicâsis
scarf,kîsowahpison
book,masinahikan
kitten,minôsis
pony,miscacimosis
jacket,miskotâkay
river,sîpiy
bowl,wiyâkanis
dawn,pêtâpan,wâpan
wheel,wâsakâpayîs
small,apisâsin,apisîsisiw
green,askihtakosiw,askihtakwan
short,cimisisiw,cimâsin
high,ispâw
fast,kakwêyâhow
clean,kanâtan,kanâtisiw
black,kaskitêsiw,kaskitêwâw
beautiful,katawasisin,katawasisiw
tall,kinosiw,kinwâw
strong,maskawisîw,maskihkîwimâkwan
red,mihkosiw,mihkwâw
big,misikitiw,misâw
nice,miyosiw
good,miywâsin
ugly,mâyâtan,mâyâtisiw
orange,osâwisiw,osâwâw,osâwâs
grey,pihkonâkosiw,pihkonâkwan
broken,pîkopayin,pîkopayiw
blue,sîpihkosiw,sîpihkwâw
wine red,watôkimihkosiw,watôkimihkwâw
likes the taste,wîhkistêw,wîhkistam
dirty,wiyipâtan,wiyipâtisiw
pink,wâpikwanîwinâkosiw,wâpikwanîwinâkwan
white,wâpiskisiw,wâpiskâw
yellow,wâposâwisiw,wâposâwâw
delicious,wîhkasin,wîhkitisiw
purple,wîpi-sîpihkosiw,wîpi-sîpihkwâw
brown,wîposâwâw,wîpôsâwisiw
slow,yikicikâwîmakan,yîkicikâwîw
go away,awas,awasitik
just kidding,cwâ
wait,cêskwa
near,cîki
that's okay,kiyâm
ok,kiyâm
always,kâkikê
don't,kâya
let's,mahti
right now,mêkwâc,sêmâk
here,na
because,osâm
already,âsay
come here,âstam,âstamitik
okay now,âw
never mind,ekosi kîyâm
look over there,itâpi nêtê
well,êkosi mâka
that's it for now,êkosi pita
coffee,pihkahcêwâpôs,pihkahtêwâpoy
meat,wiyâs
sit down,apiw
has,ayâw,ayâwêw
looks,itâpiw,kitâpahtam,kitâpamêw
cooks,kîsisam,kîsiswêw,piminawasow
likes,miywêyihtam
eats,mowêw,mîciw
bakes,nawacîw
hits,pakamaham,pakamahwêw
gets up,pasikôw
smiles,pâhpisiw
hears,pêhtawêw
gives a ride,pôsihêw
rides,pôsiw
