FST TAG	LINGUISTIC (SHORT)	LINGUISTIC (LONG)	ENGLISH	NÊHIYAWÊWIN	EMOJI	LINK
12Pl	21p (incl)	Actor: 1st Person Plural (Inclusive)	you and we	kiyânaw		
1Pl	1p (excl)	Actor: 1st Person Plural (Exclusive)	we (but not you)	niyanân		
1PlO	→ 1p	Goal: 1st Person Plural (Exclusive)	→ you (but not us)	→ kiyânaw		
1Sg	1s	Actor: 1st Person Singular	I	niya		
1SgO	→ 1s	Goal: 1st Person Singular	→ me	→ niya		
2Pl	2p (excl)	Actor: 2nd Person Plural	you (all)	kiyawâw		
2PlO	→ 2p	Goal: 2nd Person Plural	→ you (all)	→ kiyawâw		
2Sg	2s	Actor: 2nd Person Singular	you (one)	kiya		
2SgO	→ 2s	Goal: 2nd Person Singular	→ you (one)	→ kiya		
3Pl	3p	Actor: 3rd Person Plural	they	wiyawâw		
3PlO	→ 3p	Goal: 3rd Person Plural	→ them	→ wiyawâw		
3Sg	3s	Actor: 3rd Person Singular	s/he	wiya		
3SgO	→ 3s	Goal: 3rd Person Singular	→ him/her/it	→ wiya		
4Pl	4p	Actor: 3rd Person Plural (Obviative)	they (further)	wiyawâw (anihi)		
4Sg	4s	Actor: 3rd Person Singular (Obviative)	s/he (further)	wiya (anihi)		
4Sg/Pl	4	Actor: 3rd Person Singular/Plural (Obviative)	another/others	kotaka/anihi/awiya		
4Sg/PlO	→ 4	Goal: 3rd Person Singular/Plural (Obviative)	→ another/others	→ kotaka/anihi/awiya		
5Sg/Pl	5	Actor: 3rd Person Singular/Plural (Further Obviative)	yet another/further	kotaka/nêhi/awiya		
5Sg/PlO	→ 5	Goal: 3rd Person Singular/Plural (Obviative)	→ yet another/others	→ kotaka/nêhi/awiya		
0Sg	0	Impersonal / Actor: Existential / Inanimate Singular	it / there (is)	ôma		
0Pl	0p	Actor: Existential / Inanimate Plural	they / there (are)	ôhi		
0Sg+Obv	0'	Actor: Inanimate Singular Obviative	it (further)	nêma		
0Pl+Obv	0p'	Actor: Inanimate Plural Obviative	they (further)	nêhi		
0SgO	→ 0	Goal: Inanimate Singular	→ it	→ ôma		
0PlO	→ 0p	Goal: Inanimate Plural	→ them (further)	→ nêhi		
						
0Sg+Prs	0	Impersonal / Actor: Existential / Inanimate Singular	it / there is	ôma		
0Pl+Prs	0p	Actor: Existential / Inanimate Plural	they / there are	ôhi		
0Sg+Obv+Prs	0'	Actor: Inanimate Singular Obviative	it (further)	nêma		
0Pl+Obv+Prs	0p'	Actor: Inanimate Plural Obviative	they (further)	nêhi		
						
0Sg+Prt	0	Impersonal / Actor: Existential / Inanimate Singular	it / there was	ôma		
0Pl+Prt	0p	Actor: Existential / Inanimate Plural	they / there were	ôhi		
0Sg+Obv+Prt	0'	Actor: Inanimate Singular Obviative	it (further)	nêma		
0Pl+Obv+Prt	0p'	Actor: Inanimate Plural Obviative	they (further)	nêhi		
						
0Sg+Fut+Def	0	Impersonal / Actor: Existential / Inanimate Singular	it / there will be	ôma		
0Pl+Fut+Def	0p	Actor: Existential / Inanimate Plural	they / there will be	ôhi		
0Sg+Obv+Fut+Def	0'	Actor: Inanimate Singular Obviative	it (further)	nêma		
0Pl+Obv+Fut+Def	0p'	Actor: Inanimate Plural Obviative	they (further)	nêhi		
						
0Sg+Fut+Int	0	Impersonal / Actor: Existential / Inanimate Singular	it / there is going to be	ôma		
0Pl+Fut+Int	0p	Actor: Existential / Inanimate Plural	they / there is going to be	ôhi		
0Sg+Obv+Fut+Int	0'	Actor: Inanimate Singular Obviative	it (further)	nêma		
0Pl+Obv+Fut+Int	0p'	Actor: Inanimate Plural Obviative	they (further)	nêhi		
						
0Sg+Fut+Cond	0	Impersonal / Actor: Existential / Inanimate Singular	it / when there is	ôma		
0Pl+Fut+Cond	0p	Actor: Existential / Inanimate Plural	they / when there is	ôhi		
0Sg+Obv+Fut+Cond	0'	Actor: Inanimate Singular Obviative	it (further)	nêma		
0Pl+Obv+Fut+Cond	0p'	Actor: Inanimate Plural Obviative	they (further)	nêhi		
						
0Sg+Inf+PV/ka	0	Impersonal / Actor: Existential / Inanimate Singular	it / for there to be	ôma		
0Pl+Inf+PV/ka	0p	Actor: Existential / Inanimate Plural	they / for there to be	ôhi		
0Sg+Obv+Inf+PV/ka	0'	Actor: Inanimate Singular Obviative	it (further)	nêma		
0Pl+Obv+Inf+PV/ka	0p'	Actor: Inanimate Plural Obviative	they (further)	nêhi		
						
0Sg+Inf+PV/ta	0	Impersonal / Actor: Existential / Inanimate Singular	it / for there to be	ôma		
0Pl+Inf+Pv/ta	0p	Actor: Existential / Inanimate Plural	they / for there to be	ôhi		
0Sg+Obv+Inf+PV/ta	0'	Actor: Inanimate Singular Obviative	it (further)	nêma		
0Pl+Obv+Inf+PV/ta	0p'	Actor: Inanimate Plural Obviative	they (further)	nêhi		
						
Inf+PV/ka	Conjunct (ka-)	Infinitive / Irrealis (with ka-)	ka- word	ka- itwêwin		
Inf+PV/ta	Conjunct (ta-)	Infinitive / Irrealis (with ta-)	ta- word	ta- itwêwin		
						
						
						
1Sg+2SgO	1s → 2s	Actor: 1st Person Singular → Goal: 2nd Person Singular	I → you (one)	niya → kiya		
1Sg+3SgO	1s → 3s	Actor: 1st Person Singular → Goal: 3rd Person Singular	I → him/her	niya → wiya		
1Sg+1PlO	1s → 1p (excl)	Actor: 1st Person Singular → Goal: 1st Person Plural (Exclusive)	I → we (but not you)	niya → niyanân		
1Sg+12PlO	1s → 21p (incl)	Actor: 1st Person Singular → Goal: 1st Person Plural (Inclusive)	I → you and us	niya → kiyânaw		
1Sg+2PlO	1s → 2p (excl)	Actor: 1st Person Singular → Goal: 2nd Person Plural	I → you (all)	niya → kiyawâw		
1Sg+3PlO	1s → 3p	Actor: 1st Person Singular → Goal: 3rd Person Plural	I → them	niya → wiyawâw		
1Sg+4Sg/PlO	1s → 4	Actor: 1st Person Singular → Goal: 3rd Person Singular/Plural (Obviative)	I → another/others	niya → kotaka/anihi/awiya		
1Sg+5Sg/PlO	1s → 5	Actor: 1st Person Singular → Goal: 3rd Person Singular/Plural (Further Obviative)	I → yet another/others	kotaka/nêhi/awiya		
						
2Sg+1SgO	2s → 1s	Actor: 2nd Person Singular → Goal: 1st Person Singular	you (one) → me	kiya → niya		
2Sg+3SgO	2s → 3s	Actor: 2nd Person Singular → Goal: 3rd Person Singular	you (one) → him/her	kiya → wiya		
2Sg+1PlO	2s → 1p (excl)	Actor: 2nd Person Singular → Goal: 1st Person Plural (Exclusive)	you (one) → we (but not you)	kiya → niyanân		
2Sg+12PlO	2s → 1p (incl)	Actor: 2nd Person Singular → Goal: 1st Person Plural (Inclusive)	you (one) → you and us	kiya → kiyânaw		
2Sg+2PlO	2s → 2p	Actor: 2nd Person Singular → Goal: 2nd Person Plural	you (one) → you (all)	kiya → kiyawâw		
2Sg+3PlO	2s → 3p	Actor: 2nd Person Singular → Goal: 3rd Person Plural	you (one) → them	kiya → wiyawâw		
2Sg+4Sg/PlO	2s → 4	Actor: 2nd Person Singular → Goal: 3rd Person Singular/Plural (Obviative)	you (one) → another/others	kiya → kotaka/anihi/awiya		
2Sg+5Sg/PlO	2s → 5	Actor: 2nd Person Singular → Goal: 3rd Person Singular/Plural (Further Obviative)	you (one) → yet another/others	kiya → kotaka/nêhi/awiya		
						
3Sg+1SgO	3s → 1s	Actor: 3rd Person Singular → Goal: 1st Person Singular	s/he → me	wiya → niya		
3Sg+2SgO	3s → 2s	Actor: 3rd Person Singular → Goal: 2nd Person Singular	s/he → you (one)	wiya → kiya		
3Sg+1PlO	3s → 1p (excl)	Actor: 3rd Person Singular → Goal: 1st Person Plural (Exclusive)	s/he → we (but not you)	wiya → niyanân		
3Sg+12PlO	3s → 1p (incl)	Actor: 3rd Person Singular → Goal: 1st Person Plural (Inclusive)	s/he → you and us	wiya → kiyânaw		
3Sg+2PlO	3s → 2p	Actor: 3rd Person Singular → Goal: 2nd Person Plural	s/he → you (all)	wiya → kiyawâw		
3Sg+3PlO	3s → 3p	Actor: 3rd Person Singular → Goal: 3rd Person Plural	s/he → them	wiya → wiyawâw		
3Sg+4Sg/PlO	3s → 4	Actor: 3rd Person Singular → Goal: 3rd Person Singular/Plural (Obviative)	s/he → another/others	wiya → kotaka/anihi/awiya		
3Sg+5Sg/PlO	3s → 5	Actor: 3rd Person Singular → Goal: 3rd Person Singular/Plural (Further Obviative)	s/he → yet another/others	wiya → kotaka/nêhi/awiya		
						
X+1SgO	X → 1s	Actor: Unspecified → Goal: 1st Person Singular	people → me	(awiya) → niya		
X+2SgO	X → 2s	Actor: Unspecified → Goal: 2nd Person Singular	people → you (one)	(awiya) → kiya		
X+3SgO	X → 3s	Actor: Unspecified → Goal: 3rd Person Singular	people → him/her	(awiya) → wiya		
X+1PlO	X → 1p (excl)	Actor: Unspecified → Goal: 1st Person Plural (Exclusive)	people → us (but not you)	(awiya) → niyanân		
X+12PlO	X → 21p (incl)	Actor: Unspecified → Goal: 1st Person Plural (Inclusive)	people → you and us	(awiya) → kiyânaw		
X+2PlO	X → 2p (excl)	Actor: Unspecified → Goal: 2nd Person Plural	people → you (all)	(awiya) → kiyawâw		
X+3PlO	X → 3p	Actor: Unspecified → Goal: 3rd Person Plural	people → them	(awiya) → wiyawâw		
X+4Sg/PlO	X → 4	Actor: Unspecified → Goal: 3rd Person Singular/Plural (Obviative)	people → another/others	(awiya) → kotaka/anihi/awiya		
X+5Sg/PlO	X → 5	Actor: Unspecified → Goal: 3rd Person Singular/Plural (Further Obviative)	people → yet another/others	(awiya) → kotaka/nêhi/awiya		
						
1Pl+1SgO	1p (excl) → 1s	Actor: 1st Person Plural (Exclusive) → Goal: 1st Person Singular	we (but not you) → me	niyanân → niya		
1Pl+2SgO	1p (excl) → 2s	Actor: 1st Person Plural (Exclusive) → Goal: 2nd Person Singular	we (but not you) → you (one)	niyanân → kiya		
1Pl+3SgO	1p (excl) → 3s	Actor: 1st Person Plural (Exclusive) → Goal: 3rd Person Singular	we (but not you) → him/her	niyanân → wiya		
1Pl+12PlO	1p (excl) → 1p (incl)	Actor: 1st Person Plural (Exclusive) → Goal: 1st Person Plural (Inclusive)	we (but not you) → you and us	niyanân → kiyânaw		
1Pl+2PlO	1p (excl) → 2p	Actor: 1st Person Plural (Exclusive) → Goal: 2nd Person Plural	we (but not you) → you (all)	niyanân → kiyawâw		
1Pl+3PlO	1p (excl) → 3p	Actor: 1st Person Plural (Exclusive) → Goal: 3rd Person Plural	we (but not you) → them	niyanân → wiyawâw		
1Pl+4Sg/PlO	1p (excl) → 4	Actor: 1st Person Plural (Exclusive) → Goal: 3rd Person Singular/Plural (Obviative)	we (but not you) → another/others	niyanân → kotaka/anihi/awiya		
1Pl+5Sg/PlO	1p (excl) → 5	Actor: 1st Person Plural (Exclusive) → Goal: 3rd Person Singular/Plural (Further Obviative)	we (but not you) → yet another/others	niyanân → kotaka/nêhi/awiya		
						
12Pl+1SgO	21p (incl) → 1s	Actor: 1st Person Plural (Inclusive) → Goal: 1st Person Singular	you and we → me	kiyânaw → niya		
12Pl+2SgO	21p (incl) → 2s	Actor: 1st Person Plural (Inclusive) → Goal: 2nd Person Singular	you and we → you (one)	kiyânaw → kiya		
12Pl+3SgO	21p (incl) → 3s	Actor: 1st Person Plural (Inclusive) → Goal: 3rd Person Singular	you and we → him/her	kiyânaw → wiya		
12Pl+1PlO	21p (incl) → 1p (excl)	Actor: 1st Person Plural (Inclusive) → Goal: 1st Person Plural (Exclusive)	you and we → you and us	kiyânaw → niyanân		
12Pl+2PlO	21p (incl) → 2p (excl)	Actor: 1st Person Plural (Inclusive) → Goal: 2nd Person Plural	you and we → you (all)	kiyânaw → kiyawâw		
12Pl+3PlO	21p (incl) → 3p	Actor: 1st Person Plural (Inclusive) → Goal: 3rd Person Plural	you and we → them	kiyânaw → wiyawâw		
12Pl+4Sg/PlO	21p (incl) → 4	Actor: 1st Person Plural (Inclusive) → Goal: 3rd Person Singular/Plural (Obviative)	you and we → another/others	kiyânaw → kotaka/anihi/awiya		
12Pl+5Sg/PlO	21p (incl) → 5	Actor: 1st Person Plural (Inclusive) → Goal: 3rd Person Singular/Plural (Further Obviative)	you and we → yet another/others	kiyânaw → kotaka/nêhi/awiya		
						
2Pl+1SgO	2p (excl) → 1s	Actor: 2nd Person Plural → Goal: 1st Person Singular	you (all) → me	kiyawâw → niya		
2Pl+2SgO	2p (excl) → 2s	Actor: 2nd Person Plural → Goal: 2nd Person Singular	you (all) → you (one)	kiyawâw → kiya		
2Pl+3SgO	2p (excl) → 3s	Actor: 2nd Person Plural → Goal: 3rd Person Singular	you (all) → him/her	kiyawâw → wiya		
2Pl+1PlO	2p (excl) → 1p (excl)	Actor: 2nd Person Plural → Goal: 1st Person Plural (Exclusive)	you (all) → us (but not you)	kiyawâw → niyanân		
2Pl+12PlO	2p (excl) → 1p (incl)	Actor: 2nd Person Plural → Goal: 1st Person Plural (Inclusive)	you (all) → you and us	kiyawâw → kiyânaw		
2Pl+3PlO	2p (excl) → 3p	Actor: 2nd Person Plural → Goal: 3rd Person Plural	you (all) → them	kiyawâw → wiyawâw		
2Pl+4Sg/PlO	2p (excl) → 4	Actor: 2nd Person Plural → Goal: 3rd Person Singular/Plural (Obviative)	you (all) → another/others	kiyawâw → kotaka/anihi/awiya		
2Pl+5Sg/PlO	2p (excl) → 5	Actor: 2nd Person Plural → Goal: 3rd Person Singular/Plural (Further Obviative)	you (all) → yet another/others	kiyawâw → kotaka/nêhi/awiya		
						
3Pl+1SgO	3p → 1s	Actor: 3rd Person Plural → Goal: 1st Person Singular	they → me	wiyawâw → niya		
3Pl+2SgO	3p → 2s	Actor: 3rd Person Plural → Goal: 2nd Person Singular	they → you (one)	wiyawâw → kiya		
3Pl+3SgO	3p → 3s	Actor: 3rd Person Plural → Goal: 3rd Person Singular	they → him/her	wiyawâw → wiya		
3Pl+1PlO	3p → 1p (excl)	Actor: 3rd Person Plural → Goal: 1st Person Plural (Exclusive)	they → us (but not you)	wiyawâw → niyanân		
3Pl+12PlO	3p → 21p (incl)	Actor: 3rd Person Plural → Goal: 1st Person Plural (Inclusive)	they → you and us	wiyawâw → kiyânaw		
3Pl+2PlO	3p → 2p (excl)	Actor: 3rd Person Plural → Goal: 2nd Person Plural	they → you (all)	wiyawâw → kiyawâw		
3Pl+4Sg/PlO	3p → 4	Actor: 3rd Person Plural → Goal: 3rd Person Singular/Plural (Obviative)	they → another/others	wiyawâw → kotaka/anihi/awiya		
3Pl+5Sg/PlO	3p → 5	Actor: 3rd Person Plural → Goal: 3rd Person Singular/Plural (Further Obviative)	they → yet another/others	wiyawâw → kotaka/nêhi/awiya		
						
4Sg/Pl+1SgO	4 → 1s	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 1st Person Singular	another/others → me	kotaka/anihi/awiya → niya		
4Sg/Pl+2SgO	4 → 2s	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 2nd Person Singular	another/others → you (one)	kotaka/anihi/awiya → kiya		
4Sg/Pl+3SgO	4 → 3s	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 3rd Person Singular	another/others → him/her	kotaka/anihi/awiya → wiya		
4Sg/Pl+1PlO	4 → 1p (excl)	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 1st Person Plural (Exclusive)	another/others → us (but not you)	kotaka/anihi/awiya → niyanân		
4Sg/Pl+12PlO	4 → 21p (incl)	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 1st Person Plural (Inclusive)	another/others → you and us	kotaka/anihi/awiya → kiyânaw		
4Sg/Pl+2PlO	4 → 2p (excl)	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 2nd Person Plural	another/others → you (all)	kotaka/anihi/awiya → kiyawâw		
4Sg/Pl+3PlO	4 → 3p	Actor: 3rd Person Singular/Plural (Obviative) → Goal: 3rd Person Plural	another/others → another/others	kotaka/anihi/awiya → wiyawâw		
4Sg/Pl+5Sg/PlO	4 → 5	Actor: 3rd Person Singular/Plural (Obviative) → 5	another/others → yet another/others	kotaka/anihi/awiya → kotaka/nêhi/awiya		
						
5Sg/Pl+1SgO	5 → 1s	Actor: 3rd Person Singular/Plural (Further Obviative) → Goal: 1st Person Singular	yet another/others → me	kotaka/nêhi/awiya → niya		
