	"Something is happening now"	
"Speech act participants"	: "ni-/ki- word"	: "ê-/kâ- word"
"you (one) → me"	{{ lemma }}+V+TA+Ind+Prs+2Sg+1SgO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+2Sg+1SgO
"you (one) → us"	{{ lemma }}+V+TA+Ind+Prs+2Sg+1PlO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+2Sg+1PlO
"you (all) → me"	{{ lemma }}+V+TA+Ind+Prs+2Pl+1SgO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+2Pl+1SgO
"you (all) → us"	{{ lemma }}+V+TA+Ind+Prs+2Pl+1PlO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+2Pl+1PlO
		
"I → you (one)"	{{ lemma }}+V+TA+Ind+Prs+1Sg+2SgO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+1Sg+2SgO
"I → you (all)"	{{ lemma }}+V+TA+Ind+Prs+1Sg+2PlO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+1Sg+2PlO
"we → you (one)"	{{ lemma }}+V+TA+Ind+Prs+1Pl+2SgO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+1Pl+2SgO
"we → you (all)"	{{ lemma }}+V+TA+Ind+Prs+1Pl+2PlO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+1Pl+2PlO
		
"Mixed participants"	: "ni-/ki- word"	: "ê-/kâ- word"
"I → him/her"	{{ lemma }}+V+TA+Ind+Prs+1Sg+3SgO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+1Sg+3SgO
"you (one) → him/her"	{{ lemma }}+V+TA+Ind+Prs+2Sg+3SgO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+2Sg+3SgO
"we → him/her"	{{ lemma }}+V+TA+Ind+Prs+1Pl+3SgO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+1Pl+3SgO
"you and we → him/her"	{{ lemma }}+V+TA+Ind+Prs+12Pl+3SgO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+12Pl+3SgO
"you (all) → him/her"	{{ lemma }}+V+TA+Ind+Prs+2Pl+3SgO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+2Pl+3SgO
		
"I → them"	{{ lemma }}+V+TA+Ind+Prs+1Sg+3PlO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+1Sg+3PlO
"you (one) → them"	{{ lemma }}+V+TA+Ind+Prs+2Sg+3PlO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+2Sg+3PlO
"we → them"	{{ lemma }}+V+TA+Ind+Prs+1Pl+3PlO	PV/e+{{ lemma }}+V+TA+Cnj+Prs+1Pl+3PlO
