Query,Nêhiyawêwin 1,Nêhiyawêwin 2,Nêhiyawêwin 3
about,wayês,ohci,papâ
all,kahkiyaw,kapê,mâwaci
also,mîna,êkwa,kisik
and,êkwa,mîna,kisik
as,kisik,wiya,tâpiskôt
at,itê,ihk,ispî
back,asê,kâwi,otâhk
be,ispayin,ayâw,ayâ
because,osâm,wiya,ayis
big,misi,misikitiw,kihci
but,mâka
by,kisiwâk,ohci,takowâc
can,ka-kî,ta-kî,kita-kî
child,awâsis,awâsimis,awâsisîwiw
come,pê,pê-takosin,otihtam
continue,â,kêyâpik,pisisik
day,kîsikâw,awasi-wâpahki,awasi-otâkosîhk
do,ihtiw,tôtam,tôt
find,miskawêw,miskam,miskamâso
first,nîkân,nistam,êkwayâc
for,ohci,wiya,ayisk
from,ohci,ô,nakatam
get,nâci,ohtinêw,ohtisow
give,miyêw,mêkiw,mêki
go,itohtêw,itohtê,natawi
have,ayâw,ayâ,piko
he,wiya,wîsta
her,wiya,wîsta
here,ôta,na,ôtê
him,wiya,wîsta
his,wiya,wîsta
hold,itinam,tahkoham,miciminikê
how,tânisi,tâni,tânisi êkwa
I,niya,nîsta,niya wiya
if,kîspin,kîsâspin
in,pîhci,ihk,atâmihk
it,wiya,kîkway,awa
its,wiya
just,sôskwât,sôskwâc,mosci
know,kiskêyihtam,kiskêyimêw,kiskêyim
large,mahki,misi,mihcâskwan
life,pimâtisiwin,pimâtisiwiniwi,pimâtisîtot
like,tâpiskôc,tâpiskôt,sâkihtam
little,apisci,apisîsisi,nisihk
look,î,itâpiw,kitâpamêw
make,osîhêw,kaskih,osîhtâw
man,nâpêw,iyiniw,nâpêm
many,mihcêt,mistahi,mihcêtiwak
may,ka-kî,kita-kî,pakitinam
me,niya,nîsta
more,ayiwâk,kêyâpit,kêyâpic
my,niya,nîya,nîsta
new,oski
no,namôya,môy,namoya
not,namôya,nama,namwâc
now,anohc,mêkwâc,sêmâk
occur,ihkin,ispayiw,ocihcipayin
old,kêhtê,kayâsi,kêhtê-ayiwi
one,pêyak,aya,pêyako
only,nayêstaw,piko,pêyak
or,ahpô,kêmâ
other,kotak,kotaka,kotakiya
our,niyanân,kiyânaw,nîstanân
people,ayisiyiniw,iyinîm,tiyinîm
say,itwêw,ay-ît,itêw
see,wâpamêw,wâpiw,wâpahtam
she,wiya,wîsta
short,cimâsin,cimisisiw,cacimâsin
small,apisîsi,apisi,apisci
so,êkosi,wâ,isi
some,âtiht,kîkway,ayiwâkipayin
take,otinam,maskamêw,manaho
tall,kinosiw,kinwâskosi,kinosi
tell,wîhtam,âcimo,wîhtamawêw
than,ispic,ayiwâk,iyikohk
that,anima,wiya,ana
their,wiyawâw,wîstawâw,awiyakak
them,wiyawâw,wîstawâw,awiyakak
then,êkospî,ispî,êkospîhk
there,itê,ita,êkota
these,ôhi,ôki
they,wiyawâw,wîstawâw,awiyakak
thing,kîkway,kîkwâs,ayi
think,itêyihtam,mâmitonêyihcikê,mâmitonêyihtam
this,awa,ôma,êwako
those,êwakoni,anihi,nêha
time,êkospîhk,êkospî,nici
to,isi,pâmwayês,pâmayas
two,nîso,nîsi,nîsiwak
up,ispimihk,kîhcêkosîwi,kwâskwê
use,âpacihêw,âpacihtâ,âpatan
very,mitoni,mistahi,mêtoni
want,nôhtê,wîto,nitawêyimêw
we,niyanân,kiyânaw,niyanaân
well,miyo,wâ,êkosi mâka
what,kîkwây,kîkwâya,âh
when,tânispîhk,tânispî,ispî
which,tâna,kîko,kîkw-âya
who,awîna,awêna,awîniki
will,ka,kita,wî
with,asici,kiki,ohci
woman,iskwêw,iskwêm,iskwêwiw
work,atoskêw,atoskêwin,tôtam
world,askiy
would,kâh,tâh
year,pipon,askîwin,tânitahtopiponêw
you,kiya,kiyawâw,kîsta
young,oski,osk-âyiwi
your,kîstawâw,kiya,kiyawâw
accept,ohtinam,miy-ôtinêw,miyo-otinikêw
accomplish,pihkohtâw,kîsihcikâtêw,kaskihtamâsow
appear,nôkosiw,nôkwan
ash,pihko
award,kîspinamâkosiw
become,ispayin
bird,piyêsîs
bitter,wîsakisiw,wîsakan,âhkwâkamiw
black,kaskitêwi,kaskitêsiw,kaskitêwâw
bone,miskan
breast,tohtôs,mitohtôsim
bring,pêsiwêw,pêtâw
buy,atâmêw,atâwêw
catch,nawatinam,kâhcitinam,nawatinêw
cause,tôcikêw
choose,otinam,nawasônam,otinêw
comprehend,nisitohtam
confess,âcimow,misimisow,âcimisostâkêw
consider,mâmitonêyihtam
could,ka-kî,mâni mâka,kita-kî
create,osîhcikêw
discover,mîskwaham,mîskwahwêw
dog,atim,nitêm
explain,kwayaskomêw,kîhkâyâpamohêw,kwayaskomiwêw
eye,miskîsik
fall,pahkisin,pîhcipayiw
fire,iskotêw,iskotêwan
fly,pimihâw,pihkos,ôcêw
glance,itâpipayihow,kitiskatahwêw
grant,tahko-miyêw,ohcîstamâsow
hair,mêscakâsa,mêstakaya,pîway
hand,micihciy
handle,itaham,pêtâwatâw,paminêw
happen,ispayin
hard,sôhki,maskawi,maskawâw
house,wâskahikan,mîki
inform,môskinêw,misimisow
judge,itasiwâtêw,wiyasiwâtam,itasiwâtam
lead,nîkânîw,pimâwahêw
leg,miskât
long,kino,kinosiw
mouth,mitôn
name,wîhyowin,isiyihkâtêw,isiyihkâtam
navel,mitisiy
night,tipiskâw,tipisk
nose,mikot,miskiwan
notice,pisiskâpamêw,pisiskâpahtam
out,wayawî,ohci,kwayako
prefer,iyâyaw,ayiwâkêyimêw,kâkatâc
prepare,osîhêw,osîhtâw,wawêyîw
read,ayamihcikêw,ayamihtâw
red,mihkosiw,mihko,mihkwâw
remain,kisâtam,iskopayihcikan,kisâtêw
remember,kiskisiw
require,manêsiw,natawêyihtâkwan,natawêyihtâkosiw
reveal,kîhkâyâpamohiwêw,wîhtamawêw
root,ocêpihk
rope,pîminahkwân,pîsâkanâpiy
run,pimipahtâw
salt,sîwîhtâkan
shadow,cikâstêsimowin
